lr,batch_size,dropout,fold,trained_epochs,train_loss,train_acc,train_UF1,train_UAR,train_f1_micro,train_recall_micro,val_loss,val_acc,val_UF1,val_UAR,val_f1_micro,val_recall_micro,train_time_sec
5e-05,128,0.0,0,1,0.1372728343839388,0.9501514272826858,0.9414582451436634,0.926255758276346,0.9501514272826858,0.9501514272826858,0.011824460700154305,1.0,1.0,1.0,1.0,1.0,263.3446776866913
5e-05,128,0.0,1,1,0.11659444117398844,0.9564881664800586,0.9462085600827574,0.9359249218054758,0.9564881664800586,0.9564881664800586,4.04477212236717e-05,1.0,1.0,1.0,1.0,1.0,248.3464903831482
5e-05,128,0.0,2,1,0.13817692362932052,0.9483324960389535,0.9371261217283345,0.9259041721355322,0.9483324960389535,0.9483324960389535,5.72519566048868e-05,1.0,1.0,1.0,1.0,1.0,241.81422019004822
5e-05,128,0.0,3,1,0.14524336588174275,0.9464785102132869,0.9349192747481149,0.919188436138514,0.9464785102132869,0.9464785102132869,0.00010028149699792266,1.0,1.0,1.0,1.0,1.0,244.95632314682007
5e-05,128,0.0,4,1,0.12926796648625868,0.9542019132965095,0.9436965230274409,0.9279944787242588,0.9542019132965095,0.9542019132965095,0.0002267039817525074,1.0,1.0,1.0,1.0,1.0,246.01488327980042
5e-05,128,0.0,5,1,0.13734780923641865,0.9494414595493023,0.9319592756039428,0.9246864548553942,0.9494414595493023,0.9494414595493023,4.461919888854027e-05,1.0,1.0,1.0,1.0,1.0,246.13513708114624
5e-05,128,0.0,6,1,0.14001285858445456,0.9477914750550682,0.9370146922908787,0.926602556514139,0.9477914750550682,0.9477914750550682,3.645166361820884e-05,1.0,1.0,1.0,1.0,1.0,243.19581842422485
5e-05,128,0.0,7,1,0.10679263252075122,0.9612166221844015,0.952916901615993,0.941730355499241,0.9612166221844015,0.9612166221844015,6.435469549614936e-05,1.0,1.0,1.0,1.0,1.0,242.97483086585999
5e-05,128,0.0,8,1,0.12866904587806222,0.9531252009930665,0.9459936030044119,0.9310068030785853,0.9531252009930665,0.9531252009930665,0.00010322529579762068,1.0,1.0,1.0,1.0,1.0,248.23042678833008
5e-05,128,0.0,9,1,0.11742807702691234,0.9574904266429428,0.9474756740579368,0.9359533645338636,0.9574904266429428,0.9574904266429428,0.005853760521858931,1.0,1.0,1.0,1.0,1.0,244.7472960948944
5e-05,128,0.0,10,1,0.12743736662955937,0.9532294847512659,0.9417121523519129,0.9304260273708681,0.9532294847512659,0.9532294847512659,4.634220204025041e-06,1.0,1.0,1.0,1.0,1.0,245.3894476890564
5e-05,128,0.0,11,1,0.13760745965945226,0.9493561790092488,0.9426485554394088,0.9279266696281749,0.9493561790092488,0.9493561790092488,4.265068614907737e-05,1.0,1.0,1.0,1.0,1.0,247.67440938949585
5e-05,128,0.0,12,1,0.1363459817256066,0.9505523544349485,0.9390917164317699,0.9259803643346948,0.9505523544349485,0.9505523544349485,2.8251719413674437e-05,1.0,1.0,1.0,1.0,1.0,247.2380759716034
5e-05,128,0.0,13,1,0.15763759455929816,0.9419292480185579,0.9322576534205895,0.9124199294581105,0.9419292480185579,0.9419292480185579,7.725860632490367e-05,1.0,1.0,1.0,1.0,1.0,248.45359563827515
